C,SETP.WORLD,DVD_STATIONOWNER,AEMO,PUBLIC,2017/07/08,02:15:04,0000000285202918,,0000000285202674
I,PARTICIPANT_REGISTRATION,STATIONOWNER,1,EFFECTIVEDATE,PARTICIPANTID,STATIONID,VERSIONNO,LASTCHANGED
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,APS,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,PORTLAND,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SECV,PTH,2,"1998/11/02 12:11:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SITHE,SITHE,2,"1998/11/02 12:11:12"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY1,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY2,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY3,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY4,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY5,2,"1998/11/02 12:11:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWY6,2,"1998/11/02 12:11:14"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SNOWY,SNOWYP,2,"1998/11/02 12:11:14"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,CLOVER,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,DARTM,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,EILDON,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,MCKAY,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,RUBICON,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",SOUTHHYD,WKIEWA,2,"1998/11/02 12:11:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",STANWELL,BARRON,2,"1998/11/02 12:11:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",STANWELL,KAREEYA,2,"1998/11/02 12:11:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",STANWELL,MACKAY,2,"1998/11/02 12:11:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",STANWELL,STANWELL,2,"1998/11/02 12:11:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",TARONG,TARONG,2,"1998/11/02 12:11:18"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",TARONG,WIVENHOE,2,"1998/11/02 12:11:18"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",TIPSCO,TORRIS,2,"1998/11/02 12:11:19"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",YALLOURN,YALLOURN,2,"1998/11/02 12:11:20"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",CSENERGY,CALLIDE,6,"1998/12/07 15:15:40"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",CSENERGY,STHJST,6,"1998/12/07 15:15:41"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",CSENERGY,SWANBANK,6,"1998/12/07 15:15:41"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",ETSAPWR,BHASZINC,6,"1998/12/07 15:15:43"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,BHILLGT,6,"1998/12/07 15:15:44"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,BROWNMT,6,"1998/12/07 15:15:44"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,BURRIN,6,"1998/12/07 15:15:44"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,ERARING,6,"1998/12/07 15:15:44"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,HUMENSW,6,"1998/12/07 15:15:44"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,HUMEV,6,"1998/12/07 15:15:45"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,KEEPIT,6,"1998/12/07 15:15:45"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,KOOLKHAN,6,"1998/12/07 15:15:45"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,NORTHGT,6,"1998/12/07 15:15:45"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,SHOALHAV,6,"1998/12/07 15:15:45"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",PACPOWER,WG,6,"1998/12/07 15:15:46"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SECV,APS,6,"1998/12/07 15:15:47"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SECV,PORTLAND,6,"1998/12/07 15:15:47"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SECV,PTH,6,"1998/12/07 15:15:47"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SECV,VICSMLT,6,"1998/12/07 15:15:47"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SITHE,SITHE,6,"1998/12/07 15:15:48"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,BLOWER,6,"1998/12/07 15:15:50"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,GUTHEGA,6,"1998/12/07 15:15:50"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,MURRAY1,6,"1998/12/07 15:15:50"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,MURRAY2,6,"1998/12/07 15:15:51"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY,6,"1998/12/07 15:15:51"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY1,6,"1998/12/07 15:15:51"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY2,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY3,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY4,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY5,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNOWY6,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,SNWYGJP2,6,"1998/12/07 15:15:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,TUMUT1,6,"1998/12/07 15:15:52"
